"value","European Union & Foreign Affairs","Parliamentary Procedures","Environment & Energy","Health & Healthcare","Welfare & Social Housing","Education & Learning","Economy & Financial Services","Standards & Technology","Crime & Justice","Defence & Armed Forces","Immigration & Borders"
"Ann Coffey",0.813688212927757,0.533742331288344,0.556701030927835,0.52112676056338,0.579881656804734,0.615384615384615,0.357798165137615,0.372881355932203,0.428571428571429,0.490384615384615,0.474885844748858
"Roberta Blackman-Woods",0.821292775665399,0.828220858895706,0.618556701030928,0.47887323943662,0.662721893491124,0.384615384615385,0.559633027522936,0.508474576271186,0.26984126984127,0.442307692307692,0.465753424657534
"Tom Brake",0.817490494296578,0.52760736196319,0.525773195876289,0.492957746478873,0.603550295857988,0.615384615384615,0.311926605504587,0.288135593220339,0.388888888888889,0.413461538461538,0.497716894977169
"Frank Field",0.429657794676806,0.828220858895706,0.628865979381443,0.450704225352113,0.686390532544379,0.461538461538462,0.688073394495413,0.23728813559322,0.214285714285714,0.442307692307692,0.497716894977169
"Vernon Coaker",0.821292775665399,0.815950920245399,0.556701030927835,0.352112676056338,0.733727810650888,0.615384615384615,0.440366972477064,0.406779661016949,0.30952380952381,0.519230769230769,0.452054794520548
"Luciana Berger",0.661596958174905,0.889570552147239,0.639175257731959,0.774647887323944,0.78698224852071,0.666666666666667,0.44954128440367,0.288135593220339,0.119047619047619,0.451923076923077,0.484018264840183
"Ruth George",0.741444866920152,0.552147239263804,0.525773195876289,0.535211267605634,0.526627218934911,0.512820512820513,0.321100917431193,0.271186440677966,0.468253968253968,0.451923076923077,0.493150684931507
"Nic Dakin",0.733840304182509,0.56441717791411,0.56701030927835,0.535211267605634,0.621301775147929,0.666666666666667,0.339449541284404,0.288135593220339,0.444444444444444,0.451923076923077,0.488584474885845
"Mike Gapes",0.817490494296578,0.539877300613497,0.536082474226804,0.577464788732394,0.621301775147929,0.615384615384615,0.302752293577982,0.322033898305085,0.46031746031746,0.451923076923077,0.474885844748858
"Stephen Gethins",0.809885931558935,0.558282208588957,0.515463917525773,0.492957746478873,0.556213017751479,0.512820512820513,0.321100917431193,0.288135593220339,0.444444444444444,0.394230769230769,0.470319634703196
"Kevin Barron",0.76425855513308,0.754601226993865,0.56701030927835,0.52112676056338,0.692307692307692,0.512820512820513,0.559633027522936,0.288135593220339,0.238095238095238,0.538461538461538,0.447488584474886
"Emma Little Pengelly",0.326996197718631,0.503067484662577,0.515463917525773,0.450704225352113,0.473372781065089,0.512820512820513,0.651376146788991,0.559322033898305,0.428571428571429,0.557692307692308,0.506849315068493
"David Simpson",0.186311787072243,0.693251533742331,0.608247422680412,0.676056338028169,0.526627218934911,0.692307692307692,0.605504587155963,0.593220338983051,0.452380952380952,0.538461538461538,0.529680365296804
"Amber Rudd",0.326996197718631,0.104294478527607,0.360824742268041,0.267605633802817,0.171597633136095,0.307692307692308,0.651376146788991,0.661016949152542,0.920634920634921,0.605769230769231,0.54337899543379
"David Gauke",0.26615969581749,0.098159509202454,0.443298969072165,0.507042253521127,0.242603550295858,0.256410256410256,0.495412844036697,0.542372881355932,0.69047619047619,0.567307692307692,0.561643835616438
"Nigel Dodds",0.182509505703422,0.674846625766871,0.597938144329897,0.577464788732394,0.591715976331361,0.743589743589744,0.688073394495413,0.542372881355932,0.373015873015873,0.471153846153846,0.534246575342466
"Alistair Burt",0.304182509505703,0.233128834355828,0.54639175257732,0.676056338028169,0.325443786982249,0.435897435897436,0.577981651376147,0.576271186440678,0.69047619047619,0.567307692307692,0.557077625570776
"Jeffrey M. Donaldson",0.269961977186312,0.496932515337423,0.54639175257732,0.436619718309859,0.437869822485207,0.435897435897436,0.623853211009174,0.593220338983051,0.444444444444444,0.528846153846154,0.502283105022831
"Rory Stewart",0.342205323193916,0.226993865030675,0.43298969072165,0.23943661971831,0.236686390532544,0.333333333333333,0.568807339449541,0.661016949152542,0.753968253968254,0.596153846153846,0.54337899543379
