about,title,date_value,search_url,
104445,"Caring for the Elderly, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",15/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-15&endDate=2009-07-15&searchTerm=Caring for&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Caring for the Elderly 2009-07-15.txt
104442,"Borders, Citizenship and Immigration Bill (Lords), Question put, That New clause 3 be read a Second time",14/07/2009,"https://hansard.parliament.uk/search/Divisions?startDate=2009-07-14&endDate=2009-07-14&searchTerm=Borders, C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1","Borders, Citizenship and Immigration Bill [Lords] 2009-07-14.txt"
104440,Political Parties and Elections Bill (Extension of Carry-over) shall lapse in pursuance of paragraph (13) of Standing Order No. 80A shall be extended by 15 weeks until 29 October 2009,13/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-13&endDate=2009-07-13&searchTerm=Political &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Political Parties and Elections Bill (Extension of Carry-over) 2009-07-13.txt
104441,"Political parties and elections Bill (programme) (NO.4), Motion made, and Question put forthwith (Standing Order No. 83A(7))",13/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-13&endDate=2009-07-13&searchTerm=Political &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Political Parties and Elections Bill (Extension of Carry-over) 2009-07-13.txt
104438,"Prevention and Suppression of Terrorism, Question put",09/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-09&endDate=2009-07-09&searchTerm=Prevention&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Prevention and Suppression of Terrorism 2009-07-09.txt
104439,"Council Tax, Question put",09/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-09&endDate=2009-07-09&searchTerm=Council Ta&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Council Tax 2009-07-09.txt
104430,"Justice and Security, That the draft Justice and Security (Northern Ireland) Act 2007 (Extension of duration of non-jury trial provisions) Order 2009, which was laid before this House on 8 June, be approved",08/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-08&endDate=2009-07-08&searchTerm=Justice an&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104431,"Identity Cards, That the draft Identity Cards Act 2006 (Provision of Information without Consent) Regulations 2009, which were laid before this House on 6 May, be approved",08/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-08&endDate=2009-07-08&searchTerm=Identity C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104432,"Identity Cards, That the draft Identity Cards Act 2006 (Information and Code of Practice on Penalties) Order 2009, which was laid before this House on 6 May, be approved",08/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-08&endDate=2009-07-08&searchTerm=Identity C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104433,"Identity Cards, That the draft Identity Cards Act 2006 (Fees) Regulations 2009, which were laid before this House on 6 May, be approved",08/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-08&endDate=2009-07-08&searchTerm=Identity C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
